folio,foliohog,huespedes,huesp_come,trabaja_do,cuid_perso,lavandero,chofer,cocinero,jardinero,tot_integ,tot_hom,tot_muj
17010,1,0, , , , , , , ,3,1,2
17011,1,0, , , , , , , ,3,2,1
17012,1,0, , , , , , , ,3,0,3
17013,1,0, , , , , , , ,2,1,1
17014,1,0, , , , , , , ,4,3,1
17015,1,0, , , , , , , ,4,3,1
17016,1,0, , , , , , , ,5,1,4
17017,1,0, , , , , , , ,1,1,0
17018,1,0, , , , , , , ,5,2,3
17019,1,0, , , , , , , ,7,2,5
17020,1,0, ,1,2,2,2,2,2,4,2,2
17021,1,0, , , , , , , ,5,2,3
17022,1,0, , , , , , , ,6,3,3
17023,1,0, , , , , , , ,5,3,2
17024,1,0, , , , , , , ,1,0,1
17025,1,0, , , , , , , ,4,2,2
17026,1,0, , , , , , , ,3,1,2
17027,1,0, , , , , , , ,3,2,1
17028,1,0, , , , , , , ,3,1,2
17029,1,0, , , , , , , ,7,4,3
17030,1,0, , , , , , , ,2,1,1
17031,1,0, , , , , , , ,4,2,2
17032,1,0, , , , , , , ,4,3,1
17033,1,0, , , , , , , ,3,0,3
17034,1,0, , , , , , , ,4,2,2
17035,1,0, , , , , , , ,4,0,4
17036,1,0, , , , , , , ,6,3,3
17037,1,0, , , , , , , ,3,1,2
17038,1,0, , , , , , , ,2,0,2
17039,1,0, , , , , , , ,2,2,0
17040,1,0, , , , , , , ,4,2,2
17041,1,0, , , , , , , ,5,2,3
17042,1,0, , , , , , , ,5,3,2
17043,1,0, , , , , , , ,5,2,3
17044,1,0, , , , , , , ,2,1,1
17045,1,0, ,1,2,2,2,2,2,4,2,2
17046,1,0, ,1,2,2,2,2,2,3,2,1
17047,1,0, , , , , , , ,6,2,4
17048,1,0, , , , , , , ,4,1,3
17049,1,0, , , , , , , ,4,1,3
17050,1,0, , , , , , , ,3,2,1
17051,1,0, , , , , , , ,3,2,1
17052,1,0, , , , , , , ,4,3,1
17053,1,0, , , , , , , ,5,3,2
17054,1,0, , , , , , , ,5,3,2
17055,1,0, , , , , , , ,4,0,4
17056,1,0, , , , , , , ,6,2,4
